股票代號,股票名稱,,近240日成交量合計,近240日籌碼集中度
2402,毅嘉,,449922,-0.1
2404,漢唐,,164691,2.3
2405,輔信,,949866,-0.9
2406,國碩,,862891,-2.8
2408,南亞科,,3325903,-1.9
2409,友達,,16732800,0.7
2412,中華電,,3694002,-0.1
2413,環科,,338154,0.7
2414,精技,,33886,-9
2415,錩新,,50078,-2.2
2417,圓剛,,294980,0.3
2419,仲琦,,1011766,0.1
2420,新巨,,40184,-11.1
2421,建準,,443183,3.3
2423,固緯,,65689,1.5
2424,隴華,,7655,-2.3
2425,承啟,,314953,0.6
2426,鼎元,,344459,2.8
2427,三商電,,139953,2.8
2428,興勤,,102127,-3.3
2429,銘旺科,,6070,-5.8
2430,燦坤,,77353,-1.6
2431,聯昌,,53764,1.1
2433,互盛電,,6866,-6.4
2434,統懋,,12594,0.1
2436,偉詮電,,615320,-1.1
2438,翔耀,,13788,8.1
2439,美律,,230841,0.4
2440,太空梭,,65271,1.2
2441,超豐,,462787,-9.7
2442,新美齊,,269180,3.6
2443,昶虹,,22333,7.9
2444,兆勁,,179758,0.3
2449,京元電子,,2129747,-1.9
2450,神腦,,28399,-2.5
2451,創見,,123848,-3
2453,凌群,,59857,-1
2454,聯發科,,2261625,-3.1
2455,全新,,673998,-3.3
2457,飛宏,,1432335,0.1
2458,義隆,,556713,-2
2459,敦吉,,17987,-8.5
2460,建通,,79169,0
2461,光群雷,,184663,1.4
2462,良得電,,348253,-0.5
2464,盟立,,67750,-1.1
2465,麗臺,,462684,0
2466,冠西電,,33784,0.1
2467,志聖,,48702,4.8
2468,華經,,432366,-0.3
2471,資通,,27598,2.3
2472,立隆電,,84805,2.4
2474,可成,,1124318,5.6
2476,鉅祥,,503221,-1.2
2477,美隆電,,72464,2
2478,大毅,,43442,4.3
2480,敦陽科,,80685,-1.6
2481,強茂,,1716732,-2.9
2482,連宇,,1159449,0.1
2483,百容,,143436,-0.4
2484,希華,,611343,0
2485,兆赫,,204245,-0.4
2486,一詮,,510279,-0.3
2488,漢平,,34263,3.5
2489,瑞軒,,529928,-2.5
2491,吉祥全,,56698,-0.6
2492,華新科,,490171,-1.5
2493,揚博,,44182,6
2495,普安,,362740,3.6
2496,卓越,,6009,-0.9
2497,怡利電,,1399062,-0.5
2498,宏達電,,7564676,-0.3
2501,國建,,145676,-12.4
2504,國產,,858311,1.4
2505,國揚,,65058,11.7
2506,太設,,90528,1.1
2509,全坤建,,23390,11.7
2511,太子,,215704,3.3
2514,龍邦,,37246,8.1
2515,中工,,1102928,0.5
2516,新建,,48111,-0.6
2520,冠德,,298648,-6.8
2524,京城,,44594,5
2527,宏璟,,75434,-10.2
2528,皇普,,41082,-5.1
2530,華建,,204458,0.3
2534,宏盛,,391962,1.9
2535,達欣工,,128450,-0.1
2536,宏普,,79188,10.1
2537,聯上發,,407499,-5.6
2538,基泰,,303583,10.3
2539,櫻花建,,82484,-4.7
2540,愛山林,,85824,-1.2
2542,興富發,,1820929,-6.5
2543,皇昌,,70803,-0.4
2545,皇翔,,188901,1
2546,根基,,25300,-1.3
2547,日勝生,,230632,4.1
2548,華固,,150425,-8.7
2596,綠意,,18976,-18.7
2597,潤弘,,42577,3.3
2601,益航,,816540,1.4
2603,長榮,,19971849,0.6
2605,新興,,1441527,0.8
2606,裕民,,2483945,1.3
2607,榮運,,2829115,0.3
2608,嘉里大榮,,331032,-0.2
2609,陽明,,12406918,-0.2
2610,華航,,22445175,-1.7
2611,志信,,671965,-0.6
2612,中航,,307179,0.2
2613,中櫃,,506731,-0.2
2614,東森,,1044928,-0.2
2615,萬海,,4895247,-0.7
2616,山隆,,34657,-11.8
2617,台航,,600382,0.3
2618,長榮航,,25718778,0.6
2630,亞航,,28530,1.8
2633,台灣高鐵,,1164453,0.8
2634,漢翔,,2068838,0.8
2636,台驊投控,,566668,1.1
2637,慧洋-KY,,3163382,0
2640,大車隊,,11869,9
2641,正德,,911709,-0.5
2642,宅配通,,406625,-0.2
2643,捷迅,,15528,1.4
2701,萬企,,35922,2.2
2702,華園,,130571,-1.4
2704,國賓,,103952,2.4
2705,六福,,111500,-1.7
2706,第一店,,54302,-1.8
2707,晶華,,213609,3.5
2712,遠雄來,,3750,-5.2
2718,晶悅,,1985,1.5
2719,燦星旅,,3716,-0.3
2722,夏都,,27442,0.2
2723,美食-KY,,277464,1.4
2724,富驛-KY,,1952,2
2726,雅茗-KY,,23547,-4.9
2727,王品,,115931,8.6
2729,瓦城,,9722,0.3
2731,雄獅,,452608,0.2
2732,六角,,92333,1.9
2734,易飛網,,89970,-0.6
2736,富野,,562967,-0.8
2739,寒舍,,12157,0.6
2740,天蔥,,4747,0.1
2743,山富,,642744,-0.3
2745,五福,,56743,-1.6
2748,雲品,,104925,2.1
2752,豆府,,8340,8
2753,八方雲集,,149722,3
2754,亞洲藏壽司,,74996,2.7
2755,揚秦,,4722,2.7
2756,聯發國際,,6291,-0.3
2801,彰銀,,3276835,0.5
2809,京城銀,,758442,-3.5
2812,台中銀,,1375063,-2.8
2816,旺旺保,,23880,1.8
2820,華票,,273141,-4.3
2832,台產,,41328,-0.1
2834,臺企銀,,9570379,3.2
2836,高雄銀,,266872,0.1
2836A,高雄銀甲特,,9445,-1.2
2838,聯邦銀,,969299,6.9
2838A,聯邦銀甲特,,37271,0.4
2841,- -,,122953,- -
2845,遠東銀,,1632183,0.7
2849,安泰銀,,34263,-5.1
2850,新產,,137170,-2.3
2851,中再保,,284207,-7
2852,第一保,,82073,-7.6
2855,統一證,,267580,-6.7
2867,三商壽,,2149206,-4.7
2880,華南金,,3629865,3.3
2881,富邦金,,6196203,-5.3
2881A,富邦特,,57293,0.8
2881B,富邦金乙特,,22732,-0.7
2881C,富邦金丙特,,17624,28.5
2882,國泰金,,8166755,-4
2882A,國泰特,,42644,-6.5
2882B,國泰金乙特,,25097,-1.7
2883,開發金,,13719336,-2.6
2883B,開發金乙特,,822364,-4.9
2884,玉山金,,8410567,-5.4
2885,元大金,,7855285,-6
2886,兆豐金,,7500800,-3.8
2887,台新金,,7854488,-7.7
2887E,台新戊特,,44062,-4
2887F,台新戊特二,,12502,-3.9
2887Z1,台新己特,,100676,2.2
2888,新光金,,14963705,-4.8
2888A,新光金甲特,,10325,-8.5
2888B,新光金乙特,,39111,-7
2889,國票金,,1360561,-7.8
2890,永豐金,,8977147,1.6
2891,中信金,,16751913,-2.3
2891B,中信金乙特,,6590,5
2891C,中信金丙特,,5278,8.8
2892,第一金,,5998014,3.3
2897,王道銀行,,1671436,-4.4
2897A,王道銀甲特,,86212,-1.1
2901,欣欣,,15494,-10.1
2903,遠百,,209915,0.9
2904,匯僑,,11586,-2.9
2905,三商,,120838,-9.8
2906,高林,,1220215,-1.6
2908,特力,,44807,-0.4
2910,統領,,8736,-2.9
2911,麗嬰房,,38086,-1.9
2912,統一超,,589861,0.4
2913,農林,,353380,11
2915,潤泰全,,1386771,2.3
2916,滿心,,10765,-6.3
2923,鼎固-KY,,18938,-3.4
2924,東凌-KY,,2050,1.5
2926,誠品生活,,12991,0.7
2929,淘帝-KY,,245611,-0.8
2936,- -,,9753,- -
2937,集雅社,,5526,-0.1
2939,凱羿-KY,,40783,1
2945,三商家購,,7417,-4.1
2947,振宇五金,,4107,-3.2
3002,歐格,,90998,1.9
3003,健和興,,242603,-1.7
3004,豐達科,,42741,4.5
3005,神基,,449718,-6.4
3006,晶豪科,,1891599,-2.1
3008,大立光,,196852,0.8
3010,華立,,140980,0.2
3011,今皓,,350225,1.6
3013,晟銘電,,288585,-0.1
3014,聯陽,,234734,-1.3
3015,全漢,,32918,1.9
3016,嘉晶,,616565,-1.2
3017,奇鋐,,2591629,0.8
3018,- -,,54543,0.4
3019,亞光,,272477,1.5
3021,鴻名,,66731,-0.9
3022,威強電,,440311,2.3
3023,信邦,,192130,2.2
3024,憶聲,,205136,3.5
3025,星通,,247712,0.1
3026,禾伸堂,,64113,-2.9
3027,盛達,,695026,1
3028,增你強,,137675,-7.6
3029,零壹,,91279,-2.4
3030,德律,,184352,-0.6
3031,佰鴻,,45927,4.5
3032,偉訓,,17533,3.7
3033,威健,,470896,-3.4
3034,聯詠,,1710319,-2.7
3035,智原,,5983156,-0.4
3036,文曄,,1141881,-1.6
3036A,文曄甲特,,18316,-3.4
3037,欣興,,8161624,-2.2
3038,全台,,194168,5.4
3040,遠見,,8958,6.2
3041,揚智,,519315,0.1
3042,晶技,,505669,2.2
3043,科風,,114246,7.1
3044,健鼎,,460239,-0.6
3045,台灣大,,1551589,1
3046,建碁,,791668,-0.2
3047,訊舟,,1794260,0
3048,益登,,211837,-3.4
3049,和鑫,,789007,-2
3050,鈺德,,536513,2.9
3051,力特,,508261,0.4
3052,夆典,,43552,13.2
3054,立萬利,,15842,7.5
3055,蔚華科,,33165,0
3056,總太,,258595,-1.8
3057,喬鼎,,28047,-4.7
3058,立德,,50390,-0.9
3059,華晶科,,1123008,-0.6
3060,銘異,,79941,2.1
3062,建漢,,1723386,-0.6
3064,泰偉,,1294,1.8
3066,李洲,,72701,-0.3
3067,全域,,1873,0.1
3071,協禧,,73661,1.3
3073,天方能源,,4206,2.5
3078,僑威,,64650,-0.2
3081,聯亞,,406554,-2.4
3083,網龍,,120657,0
3085,新零售,,7932,9.8
3086,華義,,72753,-0.1
3088,艾訊,,142289,0
3089,億杰,,23159,-10.9
3090,日電貿,,66400,2.3
3092,鴻碩,,276144,-0.3
3093,港建*,,105744,-1.2
3094,聯傑,,143668,1.7
3095,及成,,19998,6.4
3105,穩懋,,1123708,-3.4
3114,好德,,47941,1.1
3115,富榮綱,,8221,-1
3118,進階,,10744,-3.2
3122,笙泉,,216431,-0.4
3128,昇銳,,648911,0
3130,一零四,,4126,-16.1
3131,弘塑,,28691,-6.2
3138,耀登,,129116,-0.8
3141,晶宏,,1174796,-1.2
3147,大綜,,57963,0.1
3149,正達,,170526,-5.4
3152,璟德,,33726,-0.5
3162,精確,,295684,-0.3
3163,波若威,,633402,-0.1
3164,景岳,,61750,-0.4
3167,大量,,57064,-7.3
3169,亞信,,461506,-0.9
3171,新洲,,9303,-3.9
3176,基亞,,72052,-0.8
3178,公準,,38683,1.2
3188,鑫龍騰,,39988,3.7
3189,景碩,,3233298,-2.6
3191,和進,,24517,10.5
3202,樺晟,,81153,1.2
3205,佰研,,243895,0
3206,志豐,,16476,-0.7
3207,耀勝,,650022,0
3209,全科,,317007,0.2
3211,順達,,115695,-3.6
3213,茂訊,,16091,-3.9
3217,優群,,188681,-3.4
3218,大學光,,140922,1.2
3219,倚強科,,19196,-1.4
3221,台嘉碩,,378503,-1.3
3224,三顧,,88775,-2.7
3226,至寶電,,1007,8.6
3227,原相,,109346,1.8
3228,金麗科,,348000,-0.9
3229,晟鈦,,27549,3.8
3230,錦明,,101178,1.1
3231,緯創,,4592061,-0.8
3232,昱捷,,126577,4.3
3234,光環,,214507,0.4
3236,千如,,103444,1.4
3252,海灣,,132874,-1.2
3257,虹冠電,,70609,-2.9
3259,鑫創,,15904,-2.9
3260,威剛,,563928,1.2
3264,欣銓,,737255,-1.4
3265,台星科,,425590,-0.4
3266,昇陽,,77917,-1.2
3268,海德威,,26637,1.3
3272,東碩,,162312,1.7
3276,宇環,,73607,2.1
3284,太普高,,24728,-1.8
3285,微端,,21739,1.7
3287,廣寰科,,53627,0.4
3288,點晶,,4540,13.8
3289,宜特,,568087,1.8
3290,東浦,,138007,0.7
3293,鈊象,,171512,0.2
3294,英濟,,134133,1.4
3296,勝德,,238508,-0.5
3297,杭特,,75805,-0.7
3303,岱稜,,66054,-0.6
3305,昇貿,,308907,-1.1
3306,鼎天,,75174,0.7
3308,聯德,,21405,-0.4
3310,佳穎,,31464,1.7
3311,閎暉,,13811,10.3
3312,弘憶股,,145989,-2.8
3313,斐成,,41674,-2.3
3317,尼克森,,141219,-0.2
3321,同泰,,46304,-2.2
3322,建舜電,,358291,0.9
3323,加百裕,,48612,3.2
3324,雙鴻,,751748,-0.1
3325,旭品,,31025,4.4
3332,幸康,,10282,-0.4
3338,泰碩,,143243,1.1
3339,泰谷,,96346,0.6
3346,麗清,,244656,0.2
3349,寶德,,6491,7.6
3354,律勝,,285113,-0.1
3356,奇偶,,567096,-0.1
3357,臺慶科,,19298,6.1
3360,尚立,,39787,1.8
3362,先進光,,396405,0.4
3363,上詮,,68930,-1.1
3372,典範,,100948,-2.6
3373,熱映,,54258,0.9
3374,精材,,615979,1.4
3376,新日興,,116595,-0.1
3379,彬台,,27455,3.1
3380,明泰,,563493,1.8
3383,- -,,67472,- -
3388,崇越電,,12124,-5.5
3390,旭軟,,184796,-0.3
3402,漢科,,101441,1.2
3406,玉晶光,,683059,-1.3
3413,京鼎,,201627,-1.7
3416,融程電,,15456,-7.6
3419,譁裕,,357464,-0.4
3426,台興,,1564,9.4
3430,奇鈦科,,37381,-2.6
3432,台端,,227759,-0.5
3434,哲固,,250510,-0.5
3437,榮創,,160973,1.7
3438,類比科,,48470,-3
3441,聯一光,,236108,0
3443,創意,,1150532,0.1
3444,利機,,184202,2.8
3447,展達,,22620,-4
3450,聯鈞,,58218,1.2
3454,晶睿,,929113,0.8
3455,由田,,423321,-1
3465,進泰電子,,7663,0.1
3466,致振,,242986,1.4
3479,安勤,,165876,0.4
3481,群創,,19030309,-1.3
3483,力致,,128959,-0.3
3484,崧騰,,80819,-2.5
3489,森寶,,28842,0.5
3490,單井,,67508,0.2
3491,昇達科,,771513,-0.5
3492,長盛,,33192,-0.1
3494,誠研,,337665,-1.8
3498,陽程,,26853,3.8
3499,環天科,,310591,0
3501,維熹,,19208,3
3504,揚明光,,854210,-0.4
3508,位速,,828634,-0.2
3511,矽瑪,,154575,-0.2
3512,皇龍,,18372,-1.1
3515,華擎,,404917,-1.5
3516,亞帝歐,,28291,4.4
3518,柏騰,,63818,-2.1
3520,華盈,,488805,-1.1
3521,鴻翊,,220278,-1
3522,御頂,,27386,4.3
3523,迎輝,,19427,8.1
3526,凡甲,,128009,-0.3
3527,聚積,,103499,-1
3528,安馳,,6394,0.8
3529,力旺,,323695,-0.1
3530,晶相光,,72317,2.2
3531,先益,,39408,-0.8
3532,台勝科,,1237349,-1.4
3533,嘉澤,,266410,0.4
3535,晶彩科,,810720,0.1
3536,誠創,,9639,-2.6
3537,堡達,,66224,0.4
3540,曜越,,30043,2
3541,西柏,,37209,4.6
3543,州巧,,9360,2.4
3545,敦泰,,850037,-0.3
3546,宇峻,,43678,0.6
3548,兆利,,118290,0.2
3550,聯穎,,25073,1.8
3551,世禾,,44360,0.8
3552,同致,,660852,-0.2
3555,重鵬,,6709,0.2
3556,禾瑞亞,,84414,-0.9
3557,嘉威,,26229,-1
3558,神準,,1164911,0.2
3563,牧德,,33145,-7.3
3564,其陽,,36658,-1.3
3567,逸昌,,14739,-7.2
3570,大塚,,5327,6
3576,聯合再生,,1609609,1.5
3577,泓格,,34608,0.7
3580,友威科,,153614,1
3581,博磊,,15405,8.2
3583,辛耘,,307593,-0.5
3587,閎康,,200467,2.1
3588,通嘉,,238941,-0.5
3591,艾笛森,,104721,0.9
3592,瑞鼎,,197090,0.4
3593,力銘,,14910,1.1
3594,磐儀,,286241,-0.7
3596,智易,,918430,0.7
3597,映興,,19294,0.3
3605,宏致,,189361,0.1
3607,谷崧,,198520,1.8
3609,三一東林,,20378,3.1
3611,鼎翰,,9741,-3.7
3615,安可,,44336,6.1
3617,碩天,,71312,0.1
3622,洋華,,59447,6.4
3623,富晶通,,66632,0.6
3624,光頡,,1048478,-1.3
3625,西勝,,84555,-3.4
3628,盈正,,81598,-1.2
3629,地心引力,,2338,0.4
3630,新鉅科,,91007,1.5
3631,晟楠,,22291,-1
3632,研勤,,4446,5.7
3642,- -,,12600,4.1
3645,達邁,,551652,0.2
3646,艾恩特,,41423,-1
3652,精聯,,24541,3.4
3653,健策,,382710,0.2
3661,世芯-KY,,1132885,-0.3
3663,鑫科,,80023,2.4
3664,安瑞-KY,,58108,-5.1
3665,貿聯-KY,,724399,-0.9
3666,光耀,,60060,-0.7
3669,圓展,,90426,0.2
3672,康聯訊,,41652,4.4
3673,TPK-KY,,238530,-2.2
3675,德微,,493102,-0.7
3679,新至陞,,11788,2
3680,家登,,317974,0.1
3682,亞太電,,627120,12.3
3684,榮昌,,12042,-0.4
3685,元創精密,,61752,-4.2
3686,達能,,115870,3.4
3687,歐買尬,,297491,-0.6
3689,湧德,,190943,0.2
3691,碩禾,,90939,-2
3693,營邦,,113884,1.7
3694,海華,,68013,1
3701,大眾控,,471010,-0.9
3702,大聯大,,1934740,3
3702A,大聯大甲特,,37788,1.5
3703,欣陸,,630539,-0.9
3704,合勤控,,609228,3.8
3705,永信,,140866,-4.7
3706,神達,,651908,5
3707,漢磊,,2091900,-0.6
3708,上緯投控,,842014,0.5
3709,鑫聯大投控,,13179,2.7
3710,連展投控,,940528,-1.2
3711,日月光投控,,4641373,-0.9
3712,永崴投控,,122322,0.5
3713,新晶投控,,37248,-1.3
3714,富采,,2313724,-3.6
3715,定穎投控,,91148,-6.1
4102,永日,,468111,-0.1
4104,佳醫,,61529,0
4105,東洋,,285736,4.9
4106,雃博,,270826,0.7
4107,邦特,,38727,-5.3
4108,懷特,,44675,2.1
4109,加捷生醫,,53833,-0.2
4111,濟生,,58708,-1.3
4113,聯上,,73923,0.4
4114,健喬,,1950973,0.3
4116,明基醫,,712258,0
4119,旭富,,67014,1.9
4120,友華,,21026,0.5
4121,優盛,,543383,-0.1
4123,晟德,,244743,-2.9
4126,太醫,,30469,5.8
4127,天良,,90251,0.5
4128,中天,,1569347,-0.8
4129,聯合,,80663,3
4129A,聯合甲特,,5790,7.2
4130,健亞,,327611,0.7
4131,晶宇,,7856,8.9
4133,亞諾法,,753410,0.2
4137,麗豐-KY,,65835,-2.6
4138,曜亞,,7377,3.3
4139,馬光-KY,,45815,-0.7
4141,- -,,78647,- -
4142,國光生,,511796,1.1
4147,中裕,,202598,2.4
4148,全宇生技-KY,,216866,-0.6
4153,鈺緯,,44874,1.6
4154,樂威科-KY,,10743,0.3
4155,訊映,,152594,0.6
4157,太景*-KY,,783550,-0.2
4160,創源,,8156,-0.2
4161,聿新科,,33688,-0.6
4162,智擎,,1842058,0.1
4163,鐿鈦,,30160,0.1
4164,承業醫,,149214,4.7
4167,松瑞藥,,676606,-2.3
4168,醣聯,,451338,-1.4
4171,瑞基,,785673,-0.3
4173,久裕,,79311,0
4174,浩鼎,,235898,-1.9
4175,杏一,,61868,0.7
4183,福永生技,,4982,-0.5
4188,安克,,9904,-3.9
4190,佐登-KY,,30702,-1.6
4192,杏國,,26103,3
4198,欣大健康,,5578,6.4
4205,中華食,,3788,-5.4
4207,環泰,,177930,-2.1
4303,信立,,133935,-2.6
4304,勝昱,,26840,-4.6
4305,世坤,,2522,-5.3
4306,炎洲,,191046,7.7
4401,東隆興,,10205,0.2
4402,福大,,117533,-0.1
4406,新昕纖,,21903,9.1
4413,飛寶企業,,31113,-0.1
4414,- -,,636371,-0.4
4416,三圓,,3815,-0.4
4417,金洲,,18048,4.5
4419,元勝,,645,0
4420,光明,,5053,4.2
4426,利勤,,240923,1.5
4429,- -,,1695,- -
4430,耀億,,5454,-13
4432,銘旺實,,209278,0.7
4433,興采,,31437,0.6
4438,廣越,,54700,-1.3
4439,冠星-KY,,5399,-5.6
4440,宜新實業,,20694,-6.1
4502,健信,,5579,8.6
4503,金雨,,306090,0.2
4506,崇友,,12868,-7.4
4510,高鋒,,22460,-1.6
4513,福裕,,235314,1.6
4523,永彰,,36392,0.8
4526,東台,,35705,-0.2
4527,方土霖,,8045,-3.7
4528,江興鍛,,6309,3.4
4529,淳紳,,70803,-2
4530,宏易,,13478,1
4532,瑞智,,129500,-3.9
4533,協易機,,41227,-3.3
4534,慶騰,,70828,-1.6
4535,至興,,5878,12.5
4536,拓凱,,111677,-1
4538,大詠城,,3911,1
4540,全球傳動,,19431,-2.2
4541,晟田,,185893,0
4542,科嶠,,6756,2.5
4543,萬在,,282677,-0.8
4545,銘鈺,,31446,1.5
4549,桓達,,16298,1.3
4550,長佳,,9372,2.6
4551,智伸科,,229906,-1.1
4552,力達-KY,,17070,8.3
4554,橙的,,18726,-2.9
4555,氣立,,12834,11.2
4556,旭然,,1818,0.9
4557,永新-KY,,32338,-1.1
4558,寶緯,,10774,-0.2
4560,強信-KY,,24162,2.2
4561,健椿,,9847,7.2
4562,穎漢,,29798,1.6
4563,百德,,14248,0.2
4564,元翎,,69960,-2
4566,時碩工業,,101074,-2.8
4568,科際精密,,3436,0
4571,鈞興-KY,,8982,1.2
4572,駐龍,,88396,0.2
4576,大銀微系統,,24529,-0.9
4577,達航科技,,14712,0.7
4580,捷流閥業,,20936,-5.7
4581,光隆精密-KY,,2378,5.3
4583,台灣精銳,,9317,7.4
4584,君帆,,6542,5.3
4609,唐鋒,,4490,1.7
4702,中美實,,288872,-0.7
4706,大恭,,6118,1.5
4707,磐亞,,107735,-1.9
4711,永純,,16358,4.5
4712,南璋,,9276,-6.1
4714,永捷,,91343,8.3
4716,大立,,75906,-3.4
4720,德淵,,283579,1
4721,美琪瑪,,382732,-0.4
4722,國精化,,102563,-3.3
4726,永昕,,334001,-0.2
4728,雙美,,21802,3.4
4729,熒茂,,19846,2.1
4735,豪展,,17039,-1.7
4736,泰博,,414583,0.1
4737,華廣,,20551,3
4739,康普,,750619,-0.4
4741,泓瀚,,4833,-0.4
4743,合一,,1320108,-1.7
4744,皇將,,49753,1.9
4745,合富-KY,,31358,0.4
4746,台耀,,396529,2.6
4747,強生,,36277,-1.2
4754,國碳科,,8239,-13
4755,三福化,,763316,-0.6
4760,勤凱,,13292,0.7
4763,材料-KY,,250153,1.6
4764,雙鍵,,4930,0.3
4766,南寶,,25764,-5.2
4767,誠泰科技,,2407,1.6
4768,晶呈科技,,194663,-0.9
4770,上品,,180280,1.8
4804,大略-KY,,344770,-1.7
4806,昇華,,12558,3.9
4807,日成-KY,,6246,1.3
4903,聯光通,,34114,1.9
4904,遠傳,,2233365,5
4905,台聯電,,2530,1.2
4906,正文,,1129407,1.8
4907,富宇,,8889,5
4908,前鼎,,224369,1.1
4909,新復興,,47711,-2.1
4911,德英,,35890,0
4912,聯德控股-KY,,66466,-1.4
4915,致伸,,1405615,3.4
4916,事欣科,,158110,-0.6
4919,新唐,,3273502,0.3
4923,力士,,24359,-2.2
4924,欣厚-KY,,26758,-4.4
4927,泰鼎-KY,,722301,-4.1
4930,燦星網,,103576,-2.6
4931,新盛力,,2550848,-0.4
4933,友輝,,11323,4.4
4934,太極,,231895,0.5
4935,茂林-KY,,42402,3.2
4938,和碩,,2314966,5.7
4939,亞電,,107293,2.7
4942,嘉彰,,64763,-4.9
4943,康控-KY,,86202,-3.9
4944,兆遠,,14565,-7.9
4945,陞達科技,,46241,-0.4
4946,辣椒,,45874,-0.5
4950,牧東,,212959,0.7
4951,精拓科,,10283,-2.1
4952,凌通,,268534,-0.7
4953,緯軟,,59020,2.7
4956,光鋐,,93765,4.2
4958,臻鼎-KY,,1535747,6
4960,誠美材,,1253867,1
4961,天鈺,,690643,-1
4966,譜瑞-KY,,303791,-0.8
4967,十銓,,124784,7.8
4968,立積,,604335,-1.4
4971,IET-KY,,41731,3.5
4972,湯石照明,,5912,-9.6
4973,廣穎,,22203,0.8
4974,亞泰,,39112,-3.2
4976,佳凌,,212868,1
